Secretaría Ejecutiva del Consejo Monetario Centroamericano
Comercio exterior
"Exportación de café, banano y azúcar"
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG"
Fechas,Nicaragua
,Datos no ajustados estacionalmente ni ajustados por calendario
,Café precio promedio de exportación,Banano precio promedio de exportación,Azúcar precio promedio de exportación
01-01-2003,59.61,249.98,--
01-02-2003,61.73,249.85,0.13
01-03-2003,67.77,249.95,0.43
01-04-2003,64.89,250.05,0.29
01-05-2003,73.05,250.04,--
01-06-2003,71.62,250.06,--
01-07-2003,71.05,250.01,--
01-08-2003,63.84,249.96,--
01-09-2003,61.65,249.96,--
01-10-2003,56.04,249.99,0.14
01-11-2003,51.25,250.01,--
01-12-2003,54.15,249.98,--
01-01-2004,59.84,249.95,--
01-02-2004,65.37,249.52,0.15
01-03-2004,67.74,250.04,0.15
01-04-2004,73.05,250.08,0.22
01-05-2004,74.25,253.82,0.21
01-06-2004,78.33,249.29,0.18
01-07-2004,79.27,248.42,0.18
01-08-2004,75.06,248.59,0.14
01-09-2004,73.60,248.84,0.14
01-10-2004,74.33,248.88,0.15
01-11-2004,67.65,249.30,0.16
01-12-2004,66.61,249.46,0.22
01-01-2005,80.92,267.73,0.21
01-02-2005,89.20,273.46,0.32
01-03-2005,106.67,274.71,0.18
01-04-2005,107.51,251.51,0.18
01-05-2005,116.51,247.99,0.18
01-06-2005,116.57,247.60,0.18
01-07-2005,104.00,247.54,0.19
01-08-2005,94.83,249.18,0.19
01-09-2005,92.92,253.22,0.19
01-10-2005,97.05,248.26,0.33
01-11-2005,92.03,246.99,--
01-12-2005,87.88,247.39,0.41
01-01-2006,106.19,247.71,--
01-02-2006,112.83,245.51,--
01-03-2006,117.71,250.29,0.20
01-04-2006,117.18,258.11,0.46
01-05-2006,117.92,256.30,0.21
01-06-2006,113.11,254.12,0.33
01-07-2006,103.96,253.62,0.24
01-08-2006,96.21,254.89,0.26
01-09-2006,95.72,253.79,0.42
01-10-2006,93.53,256.61,0.26
01-11-2006,100.29,252.98,0.44
01-12-2006,112.82,252.95,0.41
01-01-2007,117.42,256.44,0.33
01-02-2007,116.18,254.70,0.38
01-03-2007,122.57,257.55,0.25
01-04-2007,120.22,256.51,0.41
01-05-2007,120.37,256.54,0.39
01-06-2007,114.80,251.94,0.26
01-07-2007,113.42,254.33,0.28
01-08-2007,110.40,256.38,0.26
01-09-2007,115.21,256.34,0.30
01-10-2007,120.91,255.60,0.31
01-11-2007,120.01,253.53,0.38
01-12-2007,118.60,254.73,0.37
01-01-2008,125.74,266.90,0.24
01-02-2008,133.89,272.50,0.35
01-03-2008,139.77,272.50,0.29
01-04-2008,142.81,272.50,--
01-05-2008,139.90,272.50,0.23
01-06-2008,138.21,274.53,0.33
