Secretaría Ejecutiva del Consejo Monetario Centroamericano
Producción
Índice Mensual de la Actividad Económica
Unidad de medida: N/A
Fechas,Nicaragua
,Datos no ajustados estacionalmente ni ajustados por calendario
,IMAE
01-01-2006,99.81
01-02-2006,92.58
01-03-2006,100.33
01-04-2006,90.44
01-05-2006,99.43
01-06-2006,99.61
01-07-2006,102.53
01-08-2006,101.56
01-09-2006,95.83
01-10-2006,101.18
01-11-2006,103.33
01-12-2006,113.37
01-01-2007,103.12
01-02-2007,95.52
01-03-2007,104.91
01-04-2007,95.26
01-05-2007,105.82
01-06-2007,102.42
01-07-2007,110.62
01-08-2007,106.37
01-09-2007,98.62
01-10-2007,108.09
01-11-2007,110.96
01-12-2007,119.21
01-01-2008,111.45
01-02-2008,104.85
01-03-2008,104.69
01-04-2008,109.56
01-05-2008,108.93
01-06-2008,107.73
01-07-2008,114.22
01-08-2008,108.75
01-09-2008,104.88
01-10-2008,107.76
01-11-2008,103.20
01-12-2008,118.21
01-01-2009,104.95
01-02-2009,99.59
01-03-2009,99.79
01-04-2009,97.83
01-05-2009,105.45
01-06-2009,102.99
01-07-2009,111.30
01-08-2009,106.10
01-09-2009,100.77
01-10-2009,103.06
01-11-2009,109.24
01-12-2009,120.22
01-01-2010,107.34
01-02-2010,102.09
01-03-2010,106.20
01-04-2010,100.27
01-05-2010,108.60
01-06-2010,108.04
01-07-2010,116.41
01-08-2010,110.66
01-09-2010,106.31
01-10-2010,110.02
01-11-2010,116.48
01-12-2010,124.50
01-01-2011,113.12
01-02-2011,105.46
01-03-2011,114.96
01-04-2011,106.31
01-05-2011,118.73
01-06-2011,116.49
01-07-2011,126.13
01-08-2011,118.52
01-09-2011,112.88
01-10-2011,113.69
01-11-2011,125.74
01-12-2011,128.06
01-01-2012,128.50
01-02-2012,116.85
01-03-2012,118.62
01-04-2012,112.44
01-05-2012,126.69
01-06-2012,118.31
01-07-2012,130.27
01-08-2012,123.82
01-09-2012,116.92
01-10-2012,126.06
01-11-2012,130.63
01-12-2012,141.95
01-01-2013,131.97
01-02-2013,122.39
01-03-2013,122.35
01-04-2013,126.74
01-05-2013,132.70
01-06-2013,123.04
01-07-2013,138.52
01-08-2013,130.22
01-09-2013,125.10
01-10-2013,130.02
01-11-2013,134.05
01-12-2013,147.42
01-01-2014,135.59
01-02-2014,129.79
01-03-2014,132.04
01-04-2014,128.86
01-05-2014,139.11
01-06-2014,130.08
01-07-2014,143.73
01-08-2014,133.05
01-09-2014,131.20
01-10-2014,137.47
01-11-2014,141.42
01-12-2014,157.06
01-01-2015,141.99
01-02-2015,135.11
01-03-2015,139.14
01-04-2015,131.37
01-05-2015,143.79
01-06-2015,134.70
01-07-2015,151.15
01-08-2015,141.60
01-09-2015,141.02
01-10-2015,146.52
01-11-2015,148.50
01-12-2015,163.06
01-01-2016,147.84
01-02-2016,141.66
01-03-2016,143.00
01-04-2016,140.86
01-05-2016,153.12
01-06-2016,144.24
01-07-2016,155.74
01-08-2016,149.65
01-09-2016,143.61
01-10-2016,149.11
01-11-2016,155.94
01-12-2016,171.58
01-01-2017,159.98
01-02-2017,150.34
01-03-2017,154.79
01-04-2017,144.31
01-05-2017,160.08
01-06-2017,150.56
01-07-2017,161.09
01-08-2017,154.66
01-09-2017,147.91
01-10-2017,154.75
01-11-2017,164.69
01-12-2017,176.38
01-01-2018,165.10
01-02-2018,153.69
01-03-2018,158.11
01-04-2018,150.42
01-05-2018,151.15
01-06-2018,130.24
01-07-2018,152.25
01-08-2018,149.43
01-09-2018,141.81
01-10-2018,143.56
01-11-2018,154.15
01-12-2018,166.40
01-01-2019,152.82
01-02-2019,139.46
01-03-2019,140.93
01-04-2019,139.40
01-05-2019,146.45
01-06-2019,136.31
01-07-2019,151.23
01-08-2019,145.31
01-09-2019,140.05
01-10-2019,148.27
01-11-2019,156.06
01-12-2019,167.41
01-01-2020,155.03
01-02-2020,146.62
01-03-2020,141.64
01-04-2020,125.73
01-05-2020,135.35
01-06-2020,130.59
01-07-2020,148.67
01-08-2020,140.09
01-09-2020,141.42
01-10-2020,148.21
01-11-2020,145.91
01-12-2020,165.01
01-01-2021,156.12
01-02-2021,148.98
01-03-2021,153.53
01-04-2021,147.29
01-05-2021,160.92
01-06-2021,155.95
01-07-2021,166.08
01-08-2021,156.81
01-09-2021,152.87
01-10-2021,161.98
01-11-2021,166.34
01-12-2021,177.64
01-01-2022,165.21
01-02-2022,153.63
01-03-2022,161.21
01-04-2022,154.97
01-05-2022,167.45
01-06-2022,162.34
01-07-2022,170.73
01-08-2022,163.92
01-09-2022,156.86
01-10-2022,164.75
01-11-2022,170.81
01-12-2022,180.27
01-01-2023,171.34
01-02-2023,158.38
01-03-2023,165.32
01-04-2023,157.51
01-05-2023,176.58
01-06-2023,166.71
01-07-2023,179.61
01-08-2023,174.17
01-09-2023,167.18
01-10-2023,174.73
01-11-2023,178.30
01-12-2023,189.62
01-01-2024,182.53
01-02-2024,172.48
01-03-2024,169.21
01-04-2024,170.19
01-05-2024,183.36
01-06-2024,168.75
01-07-2024,183.93
01-08-2024,173.61
01-09-2024,167.92
01-10-2024,179.97
01-11-2024,182.55
01-12-2024,198.72
01-01-2025,185.38
01-02-2025,173.03
01-03-2025,179.30
01-04-2025,178.15
01-05-2025,187.85
01-06-2025,179.68
01-07-2025,194.96
01-08-2025,183.96
01-09-2025,181.58
01-10-2025,190.57
01-11-2025,195.73
01-12-2025,208.05
01-01-2026,198.12
01-02-2026,183.52
01-03-2026,188.83
01-04-2026,179.16
01-05-2026,189.62
01-06-2026,182.86
