Secretaría Ejecutiva del Consejo Monetario Centroamericano
Tasas de interés y encaje
Tasas de interés en moneda nacional
Unidad de medida: Porcentajes
Fechas,Nicaragua
,Datos no ajustados estacionalmente ni ajustados por calendario
,Tasa de interés activa nominal en MN
01-01-1996,19.90
01-02-1996,20.10
01-03-1996,20.30
01-04-1996,21.00
01-05-1996,21.10
01-06-1996,21.50
01-07-1996,20.70
01-08-1996,20.60
01-09-1996,20.50
01-10-1996,20.90
01-11-1996,20.80
01-12-1996,21.10
01-01-1997,21.22
01-02-1997,21.32
01-03-1997,21.53
01-04-1997,21.13
01-05-1997,21.14
01-06-1997,21.30
01-07-1997,21.19
01-08-1997,20.86
01-09-1997,20.54
01-10-1997,20.19
01-11-1997,20.24
01-12-1997,21.64
01-01-1998,21.82
01-02-1998,22.22
01-03-1998,22.40
01-04-1998,21.67
01-05-1998,21.78
01-06-1998,21.46
01-07-1998,21.30
01-08-1998,21.40
01-09-1998,21.97
01-10-1998,21.71
01-11-1998,21.58
01-12-1998,21.93
01-01-1999,18.43
01-02-1999,17.31
01-03-1999,17.13
01-04-1999,17.17
01-05-1999,17.74
01-06-1999,17.43
01-07-1999,18.36
01-08-1999,16.04
01-09-1999,15.76
01-10-1999,18.13
01-11-1999,19.07
01-12-1999,18.32
01-01-2000,17.75
01-02-2000,15.99
01-03-2000,18.91
01-04-2000,17.75
01-05-2000,18.58
01-06-2000,16.23
01-07-2000,16.40
01-08-2000,17.79
01-09-2000,19.14
01-10-2000,20.83
01-11-2000,18.68
01-12-2000,19.67
01-01-2001,19.91
01-02-2001,18.35
01-03-2001,17.29
01-04-2001,16.31
01-05-2001,15.16
01-06-2001,18.59
01-07-2001,18.52
01-08-2001,18.64
01-09-2001,19.48
01-10-2001,19.61
01-11-2001,20.57
01-12-2001,20.22
01-01-2002,19.16
01-02-2002,19.70
01-03-2002,19.14
01-04-2002,18.46
01-05-2002,17.94
01-06-2002,18.43
01-07-2002,19.02
01-08-2002,18.74
01-09-2002,16.94
01-10-2002,18.70
01-11-2002,17.61
01-12-2002,15.69
01-01-2003,17.43
01-02-2003,16.14
01-03-2003,17.74
01-04-2003,15.66
01-05-2003,16.84
01-06-2003,15.80
01-07-2003,15.25
01-08-2003,13.70
01-09-2003,12.50
01-10-2003,14.70
01-11-2003,14.72
01-12-2003,14.40
01-01-2004,16.05
01-02-2004,13.11
01-03-2004,14.55
01-04-2004,13.37
01-05-2004,12.91
01-06-2004,12.38
01-07-2004,14.40
01-08-2004,12.60
01-09-2004,13.40
01-10-2004,13.10
01-11-2004,13.20
01-12-2004,12.54
01-01-2005,14.00
01-02-2005,12.50
01-03-2005,12.40
01-04-2005,13.60
01-05-2005,13.30
01-06-2005,11.90
01-07-2005,11.70
01-08-2005,12.70
01-09-2005,10.60
01-10-2005,10.00
01-11-2005,13.20
01-12-2005,9.40
01-01-2006,12.70
01-02-2006,12.40
01-03-2006,12.50
01-04-2006,8.20
01-05-2006,8.50
01-06-2006,11.50
01-07-2006,12.30
01-08-2006,12.00
01-09-2006,12.60
01-10-2006,12.40
01-11-2006,12.20
01-12-2006,11.60
01-01-2007,12.40
01-02-2007,12.80
01-03-2007,12.90
01-04-2007,12.68
01-05-2007,13.40
01-06-2007,13.60
01-07-2007,13.40
01-08-2007,13.20
01-09-2007,13.10
01-10-2007,13.10
01-11-2007,13.00
01-12-2007,12.90
01-01-2008,15.00
01-02-2008,13.00
01-03-2008,12.74
01-04-2008,12.72
01-05-2008,12.57
01-06-2008,12.52
01-07-2008,12.88
01-08-2008,13.70
01-09-2008,12.66
01-10-2008,12.98
01-11-2008,13.72
01-12-2008,13.58
01-01-2009,13.72
01-02-2009,14.85
01-03-2009,14.47
01-04-2009,14.36
01-05-2009,13.99
01-06-2009,14.14
01-07-2009,13.98
01-08-2009,13.39
01-09-2009,14.20
01-10-2009,13.73
01-11-2009,13.44
01-12-2009,14.27
01-01-2010,13.96
01-02-2010,13.94
01-03-2010,13.73
01-04-2010,13.91
01-05-2010,12.98
01-06-2010,16.99
01-07-2010,12.74
01-08-2010,13.05
01-09-2010,13.43
01-10-2010,13.23
01-11-2010,11.71
01-12-2010,10.16
01-01-2011,11.17
01-02-2011,11.02
01-03-2011,11.15
01-04-2011,9.40
01-05-2011,9.99
01-06-2011,9.79
01-07-2011,10.08
01-08-2011,9.80
01-09-2011,12.09
01-10-2011,9.69
01-11-2011,9.09
01-12-2011,13.19
01-01-2012,10.19
01-02-2012,10.31
01-03-2012,10.56
01-04-2012,12.37
01-05-2012,14.01
01-06-2012,12.59
01-07-2012,12.64
01-08-2012,14.00
01-09-2012,12.79
01-10-2012,11.10
01-11-2012,11.30
01-12-2012,12.07
01-01-2013,15.25
01-02-2013,15.00
01-03-2013,16.73
01-04-2013,14.24
01-05-2013,14.62
01-06-2013,13.07
01-07-2013,15.31
01-08-2013,15.10
01-09-2013,15.85
01-10-2013,16.70
01-11-2013,14.50
01-12-2013,13.47
01-01-2014,15.20
01-02-2014,13.80
01-03-2014,14.90
01-04-2014,15.54
01-05-2014,13.55
01-06-2014,14.52
01-07-2014,13.10
01-08-2014,13.60
01-09-2014,12.87
01-10-2014,10.98
01-11-2014,12.24
01-12-2014,12.23
01-01-2015,11.97
01-02-2015,11.75
01-03-2015,10.82
01-04-2015,12.41
01-05-2015,12.23
01-06-2015,11.49
01-07-2015,12.48
01-08-2015,13.40
01-09-2015,12.78
01-10-2015,12.10
01-11-2015,11.35
01-12-2015,11.57
01-01-2016,13.69
01-02-2016,11.71
01-03-2016,10.03
01-04-2016,11.92
01-05-2016,12.11
01-06-2016,11.84
01-07-2016,11.11
01-08-2016,11.41
01-09-2016,11.40
01-10-2016,9.52
01-11-2016,11.37
01-12-2016,11.15
01-01-2017,11.41
01-02-2017,12.03
01-03-2017,9.88
01-04-2017,13.06
01-05-2017,12.14
01-06-2017,12.27
01-07-2017,10.20
01-08-2017,10.68
01-09-2017,7.94
01-10-2017,8.26
01-11-2017,10.51
01-12-2017,11.81
01-01-2018,12.90
01-02-2018,8.48
01-03-2018,8.05
01-04-2018,10.43
01-05-2018,9.57
01-06-2018,10.35
01-07-2018,11.17
01-08-2018,10.17
01-09-2018,12.06
01-10-2018,12.10
01-11-2018,12.10
01-12-2018,13.36
01-01-2019,12.85
01-02-2019,11.83
01-03-2019,12.88
01-04-2019,12.96
01-05-2019,13.27
01-06-2019,13.71
01-07-2019,11.26
01-08-2019,12.97
01-09-2019,11.88
01-10-2019,12.02
01-11-2019,12.45
01-12-2019,11.41
01-01-2020,11.78
01-02-2020,12.39
01-03-2020,10.46
01-04-2020,12.09
01-05-2020,12.40
01-06-2020,11.60
01-07-2020,10.03
01-08-2020,11.47
01-09-2020,10.64
01-10-2020,10.47
01-11-2020,10.51
01-12-2020,10.27
01-01-2021,9.83
01-02-2021,11.50
01-03-2021,9.54
01-04-2021,10.25
01-05-2021,8.76
01-06-2021,9.28
01-07-2021,9.41
01-08-2021,8.57
