Secretaría Ejecutiva del Consejo Monetario Centroamericano
Tipos de cambio
Índice tipo de cambio efectivo real
Unidad de medida: Niveles del índice y variaciones en porcentajes
Fechas,Nicaragua
,Datos no ajustados estacionalmente ni ajustados por calendario
,ITCER con USA
01-01-2000,100.08
01-02-2000,98.89
01-03-2000,98.98
01-04-2000,98.81
01-05-2000,98.68
01-06-2000,99.08
01-07-2000,100.14
01-08-2000,100.56
01-09-2000,101.14
01-10-2000,100.69
01-11-2000,100.31
01-12-2000,100.00
01-01-2001,100.31
01-02-2001,99.80
01-03-2001,100.30
01-04-2001,100.31
01-05-2001,100.53
01-06-2001,100.64
01-07-2001,101.32
01-08-2001,101.62
01-09-2001,102.51
01-10-2001,102.49
01-11-2001,102.47
01-12-2001,102.89
01-01-2002,103.18
01-02-2002,102.90
01-03-2002,103.41
01-04-2002,103.81
01-05-2002,104.18
01-06-2002,104.72
01-07-2002,104.94
01-08-2002,105.63
01-09-2002,106.04
01-10-2002,106.64
01-11-2002,107.48
01-12-2002,107.32
01-01-2003,107.44
01-02-2003,106.98
01-03-2003,107.51
01-04-2003,107.90
01-05-2003,107.42
01-06-2003,106.93
01-07-2003,108.22
01-08-2003,108.62
01-09-2003,109.74
01-10-2003,110.12
01-11-2003,109.50
01-12-2003,109.39
01-01-2004,108.85
01-02-2004,108.08
01-03-2004,108.28
01-04-2004,108.03
01-05-2004,108.01
01-06-2004,108.48
01-07-2004,108.20
01-08-2004,108.36
01-09-2004,108.12
01-10-2004,107.43
01-11-2004,107.22
01-12-2004,107.54
01-01-2005,107.84
01-02-2005,108.09
01-03-2005,107.83
01-04-2005,106.69
01-05-2005,106.33
01-06-2005,105.75
01-07-2005,106.34
01-08-2005,106.81
01-09-2005,107.93
01-10-2005,107.48
01-11-2005,107.69
01-12-2005,107.50
01-01-2006,107.54
01-02-2006,106.63
01-03-2006,106.40
01-04-2006,105.80
01-05-2006,105.60
01-06-2006,106.10
01-07-2006,106.36
01-08-2006,107.18
01-09-2006,107.27
01-10-2006,106.80
01-11-2006,106.59
01-12-2006,105.82
01-01-2007,105.54
01-02-2007,105.23
01-03-2007,104.84
01-04-2007,104.27
01-05-2007,104.14
01-06-2007,103.50
01-07-2007,103.25
01-08-2007,103.84
01-09-2007,103.56
01-10-2007,102.44
01-11-2007,99.41
01-12-2007,98.78
01-01-2008,98.21
01-02-2008,96.94
01-03-2008,96.06
01-04-2008,95.26
01-05-2008,93.67
01-06-2008,93.11
01-07-2008,93.00
01-08-2008,92.87
01-09-2008,92.52
01-10-2008,92.78
01-11-2008,91.43
01-12-2008,91.22
01-01-2009,91.94
01-02-2009,92.12
01-03-2009,92.66
01-04-2009,92.74
01-05-2009,93.47
01-06-2009,94.73
01-07-2009,95.76
01-08-2009,96.40
01-09-2009,96.63
