Secretaría Ejecutiva del Consejo Monetario Centroamericano
Precios
Índice de precios al consumidor
Unidad de medida: Niveles del índice y variaciones en porcentajes
Fechas,Nicaragua
,Datos no ajustados estacionalmente ni ajustados por calendario
,IPC general
01-01-2006,91.49
01-02-2006,92.80
01-03-2006,93.41
01-04-2006,94.73
01-05-2006,95.58
01-06-2006,95.91
01-07-2006,96.42
01-08-2006,96.59
01-09-2006,96.20
01-10-2006,96.63
01-11-2006,97.36
01-12-2006,98.93
01-01-2007,99.80
01-02-2007,100.98
01-03-2007,102.11
01-04-2007,103.14
01-05-2007,103.93
01-06-2007,104.98
01-07-2007,105.83
01-08-2007,106.12
01-09-2007,107.32
01-10-2007,109.53
01-11-2007,114.24
01-12-2007,115.62
01-01-2008,117.05
01-02-2008,119.51
01-03-2008,121.42
01-04-2008,123.10
01-05-2008,126.53
01-06-2008,129.22
01-07-2008,130.84
01-08-2008,131.50
01-09-2008,131.78
01-10-2008,131.75
01-11-2008,131.86
01-12-2008,131.55
01-01-2009,131.63
01-02-2009,132.39
01-03-2009,131.69
01-04-2009,131.57
01-05-2009,131.71
01-06-2009,131.75
01-07-2009,130.94
01-08-2009,131.34
01-09-2009,131.79
01-10-2009,132.31
01-11-2009,132.47
01-12-2009,132.78
01-01-2010,134.07
01-02-2010,136.02
01-03-2010,137.52
01-04-2010,137.95
01-05-2010,137.87
01-06-2010,137.85
01-07-2010,139.06
01-08-2010,138.35
01-09-2010,138.94
01-10-2010,141.92
01-11-2010,144.11
01-12-2010,145.03
01-01-2011,144.82
01-02-2011,145.85
01-03-2011,146.79
01-04-2011,147.76
01-05-2011,149.30
01-06-2011,150.28
01-07-2011,150.81
01-08-2011,151.77
01-09-2011,152.13
01-10-2011,152.78
01-11-2011,154.70
01-12-2011,156.57
01-01-2012,156.77
01-02-2012,158.69
01-03-2012,159.33
01-04-2012,161.03
01-05-2012,160.53
01-06-2012,160.00
01-07-2012,160.42
01-08-2012,160.82
01-09-2012,161.88
01-10-2012,162.67
01-11-2012,164.23
01-12-2012,166.93
01-01-2013,168.91
01-02-2013,169.93
01-03-2013,170.16
01-04-2013,171.24
01-05-2013,172.94
01-06-2013,173.25
01-07-2013,172.70
01-08-2013,173.59
01-09-2013,173.78
01-10-2013,173.78
01-11-2013,174.57
01-12-2013,176.40
01-01-2014,177.68
01-02-2014,178.86
01-03-2014,178.84
01-04-2014,179.63
01-05-2014,181.32
01-06-2014,183.74
